Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),ZONE1:Zone People Number Of Occupants [](Hourly),ZONE1:Zone People Total Heat Gain [J](Hourly),ZONE1:Zone Window Heat Gain[W](Hourly),ZONE1:Zone Window Heat Loss[W](Hourly),ZONE1:Zone Transmitted Solar Energy[J](Hourly),ZONE1_FACE_1_WINDOW_1:Window Transmitted Beam Solar [W](Hourly),ZONE1_FACE_1_WINDOW_1:Window Heat Gain [W](Hourly),ZONE1_FACE_1_WINDOW_1:Window Heat Loss [W](Hourly),ZONE1:Zone Mean Radiant Temperature [C](Hourly),ZONE1:Zone Mean Air Temperature [C](Hourly),ZONE1:Zone Operative Temperature [C](Hourly)
 01/07  10:00:00,9.5875,2.1,0,0,137.6127770105,0,587731.341708984,8.9329846384,58.4563527383,0,16.7054664857,16.0417831585,16.3736248221
 01/07  11:00:00,8.625,4.35,0,0,322.0546837368,0,1098330.53048018,39.1731181875,149.8093587973,0,17.0414209901,16.2561544192,16.6487877046
 01/07  12:00:00,7.8,5.7,0,0,42.0921901084,5.7100035818,416164.323091828,6.801321619,22.9853366988,1.4350610651,16.8854904018,16.0211044799,16.4532974409
 01/07  13:00:00,8.4875,4.075,0,0,365.7547174486,0,1214712.1032989,60.9229326589,194.9434835411,0,17.2046658925,16.3182208067,16.7614433496
 01/07  14:00:00,8.9,3.1,0,0,869.3287488413,0,2482852.02449033,199.3906282971,475.4634073803,0,17.9736525378,17.1059841292,17.5398183335
 01/07  15:00:00,9.5875,3.725,0,0,397.7210088725,0,1287903.47104407,70.0224696977,200.1765117321,0,17.9263942855,17.1017558235,17.5140750545
 01/07  16:00:00,9.625,3.475,0,0,63.131005248,7.2220177314,443711.260902993,4.7451651989,27.7018505656,2.0101879303,17.7041502271,16.8817270295,17.2929386283
 01/07  17:00:00,9.0875,2.7875,0,0,0,117.9736228114,32330.3300214041,0,0,39.9039693651,17.4768078411,16.6189175813,17.0478627112
 01/07  18:00:00,8.525,3.5375,0,0,0,136.980157555,0,0,0,46.5797355399,17.3235133918,16.4315771871,16.8775452895
 01/07  19:00:00,7.9875,4.1,0,0,0,142.2564741169,0,0,0,48.356773666,17.1472120246,16.2384843228,16.6928481737
